Agency,Index Crime Months,agency_type,population_21,NIBRS Months_21,NIBRS Months_22,agency_name_full,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,County,Historical mean,Historical count
nan,,City,504,0,0,barker village police department,,,,,-78.549813,43.329937,Niagara,,
Lewiston Town PD,12,City,15671,6,11,lewiston town police department,4,87,0,91,-79.01717,43.218047,Niagara,11.94736842,19
Niagara Town PD,12,City,8012,9,12,niagara town police department,1,196,0,197,-79.061,43.0923,Niagara,12,19
Somerset Town PD,12,City,2032,6,6,somerset town pd barker,,,,,-78.550099,43.337006,Niagara,9,3
nan,,Other State Agency,0,0,0,nys park police niagara region,0,0,0,0,-74.2179326,43.2994285,Niagara,,
Rome City PD,12,City,31978,12,12,rome police department,65,570,0,635,-75.4553,43.2134,Oneida,12,19
Utica City PD,12,City,59483,12,12,utica police department,298,2023,1,2321,-75.233549,43.1041147,Oneida,12,19
Boonville Vg PD,11,City,1974,0,0,boonville village police department,0,20,0,20,-75.316025,43.475453,Oneida,11.78947368,19
Camden Vg PD,12,City,2151,0,0,camden village police department,0,22,0,22,-75.752284,43.341013,Oneida,11.63157895,19
Sherrill City PD,12,City,2964,0,12,sherrill police department,0,18,0,18,-75.5994344,43.0722949,Oneida,12,19
Vernon Vg PD,12,City,1142,0,0,vernon village police department,3,3,0,6,-75.53825,43.07763,Oneida,12,19
Whitesboro Vg PD,12,City,3595,0,0,whitesboro village police department,0,0,0,0,-75.2948584,43.1237769,Oneida,11.55555556,18
Yorkville Vg PD,,City,2556,0,0,yorkville village police department,0,0,0,0,-75.2778874,43.1127507,Oneida,9,17
Oriskany Vg PD,12,City,1321,0,0,oriskany vlg police dept,0,7,0,7,-75.3326692,43.1572918,Oneida,11.94736842,19
New York Mills Vg PD,12,City,3200,0,0,new york mills village police department,2,44,0,46,-75.292136,43.103516,Oneida,11.84210526,19
New Hartford Town and Vg PD,12,City,20173,12,12,new hartford town police department,18,467,0,485,-75.2876661,43.073403,Oneida,12,19
Whitestown Town PD,12,City,8948,0,0,whitestown town police department,0,20,0,20,-75.3231,43.10752,Oneida,12,19
Kirkland Town PD,,City,8323,0,0,kirkland town police department,0,0,0,0,-75.376903,43.0914401,Oneida,12,18
Onondaga County Sheriff,12,County,174528,0,0,onondaga county sheriff's office,219,1689,1,1908,-76.147175,43.047802,Onondaga,12,19
Syracuse City PD,12,City,142011,0,0,syracuse police department,1192,4057,32,5249,-76.1474244,43.0481221,Onondaga,12,19
Jordan Vg PD,12,City,1294,0,0,jordan village police department,0,3,0,3,-76.472211,43.065564,Onondaga,12,16
Solvay Vg PD,12,City,6196,0,0,solvay village police department,14,66,0,80,-76.2074263,43.0581222,Onondaga,12,19
Baldwinsville Vg PD,12,City,7895,0,0,baldwinsville village police department,4,51,0,55,-76.3327095,43.1586786,Onondaga,12,19
Manlius Town PD,12,City,24139,0,0,manlius town police department,15,261,0,276,-75.9768632,43.0020107,Onondaga,12,19
Marcellus Vg PD,12,City,1707,0,0,marcellus vlg police dept,0,7,0,7,-76.341465,42.982581,Onondaga,11.84210526,19
Liverpool Vg PD,12,City,2191,0,0,liverpool village police department,0,10,0,10,-76.20921,43.10419,Onondaga,11.94736842,19
Skaneateles Vg PD,12,City,2466,0,0,skaneateles village police department,0,21,0,21,-76.4291017,42.947011,Onondaga,12,19
North Syracuse Vg PD,11,City,6607,0,0,north syracuse village police department,15,109,0,124,-76.1299238,43.1347897,Onondaga,11.94736842,19
Camillus Town and Vg PD,12,City,24098,0,0,camillus town and village police department,13,266,0,279,-76.3040965,43.039233,Onondaga,12,19
Cicero Town PD,12,City,28755,0,0,cicero town police department,14,291,0,305,-76.1158173,43.1693611,Onondaga,11.73684211,19
DeWitt Town PD,12,City,24947,0,0,dewitt town police department,46,725,0,771,-76.04938,43.046627,Onondaga,11.72222222,18
Geddes Town PD,12,City,10002,0,0,geddes town police department,6,176,0,182,-76.211796,43.060488,Onondaga,12,19
nan,,Other State Agency,0,0,0,nys park police central region,0,0,0,0,-74.2179326,43.2994285,-,,
Ontario County Sheriff,12,County,81092,0,0,ontario county sheriff's office,58,708,1,766,-77.2864879,42.8509838,Ontario,12,19
Geneva City PD,12,City,12569,0,0,geneva police department,38,173,0,211,-76.9791,42.871,Ontario,12,19
Clifton Springs Vg PD,5,City,1993,0,0,clifton springs village police department,0,0,0,0,-77.1399756,42.9617304,Ontario,10.57142857,14
Manchester Vg PD,,City,1603,0,0,manchester vlg police dept,0,0,0,0,-77.220691,42.955914,Ontario,12,8
Phelps Vg PD,,City,1889,0,0,phelps vlg police dept,0,0,0,0,-77.060927,42.960084,Ontario,10.6875,16
Canandaigua City PD,12,City,10112,0,0,canandaigua police department,37,220,1,257,-77.2816984,42.887535,Ontario,10.84210526,19
Orange County Sheriff,12,County,63383,0,0,orange county sheriff's office,2,15,0,17,-74.3602,41.4046,Orange,12,19
Middletown City PD,12,City,28194,12,12,middletown police department,90,385,1,475,-74.4218,41.4454,Orange,12,19
Newburgh City PD,12,City,28095,0,0,newburgh city police department,285,724,4,1009,-74.0104178,41.5034271,Orange,12,19
Washingtonville Vg PD,12,City,5755,0,0,washingtonville village police department,2,30,0,32,-74.1659798,41.4278716,Orange,11.94736842,19
Chester Vg PD,12,City,4108,0,12,chester village police department,2,13,0,15,-74.27236,41.36195,Orange,12,19
Cornwall-on-Hudson Vg PD,12,City,2911,0,0,cornwall-on-hudson village police department,0,21,0,21,-74.0156961,41.444816,Orange,11.75,16
Goshen Vg PD,12,City,5361,0,0,goshen village police department,2,21,0,23,-74.3267848,41.4022074,Orange,11.89473684,19
Highland Falls Vg PD,12,City,3822,0,0,highland falls village police department,0,11,0,11,-73.9662504,41.3692605,Orange,11.63157895,19
Monroe Vg PD,12,City,8609,0,0,monroe village police department,3,97,0,100,-74.1869,41.3277,Orange,12,19
Montgomery Vg PD,12,City,4617,0,0,montgomery vlg police dept,0,6,0,6,-74.2412637,41.5250832,Orange,11.78947368,19
Walden Vg PD,12,City,6666,12,12,walden village police department,1,26,0,27,-74.189718,41.559695,Orange,12,19
Maybrook Vg PD,12,City,3773,6,12,maybrook village police department,0,5,0,5,-74.20956,41.49063,Orange,12,19
Greenwood Lake Vg PD,12,City,3080,0,11,greenwood lake village police department,3,19,0,22,-74.294317,41.2225942,Orange,12,19
Florida Vg PD,12,City,2931,0,0,florida village police department,0,2,0,2,-74.35505,41.33074,Orange,12,19
Port Jervis City PD,12,City,8526,12,12,port jervis police department,22,117,0,139,-74.6910433,41.3750809,Orange,12,19
Tuxedo Park Vg PD,12,City,598,0,0,tuxedo park village police department,0,0,0,0,-74.2003231,41.2041676,Orange,11.42857143,7
Harriman Vg PD,12,City,2455,0,0,harriman village police department,1,17,0,18,-74.1445899,41.308427,Orange,12,19
Mount Hope Town PD,12,City,6625,0,0,mount hope town police department,3,14,0,17,-74.528861,41.47827,Orange,12,19
Cornwall Town PD,12,City,9538,0,0,cornwall town police department,2,4,0,6,-74.021522,41.4436157,Orange,12,19
Highlands Town PD,12,City,8329,0,0,highlands town police dept,0,0,0,0,-73.9728684,41.3556365,Orange,12,18
Newburgh Town PD,12,City,31691,0,0,newburgh town police department,46,766,4,812,-74.06340368,41.5317401,Orange,12,19
Tuxedo Town PD,,City,2969,0,0,tuxedo town police department,0,0,0,0,-74.1730985,41.2475944,Orange,12,16
New Windsor Town PD,12,City,27980,0,0,new windsor town police department,20,299,0,319,-74.0628287,41.4818799,Orange,12,19
Woodbury Town PD,12,City,11133,0,0,woodbury town police department,6,180,0,186,-74.1059775,41.3645382,Orange,12,19
Warwick Town PD,12,City,18459,0,0,warwick town police department,9,72,0,81,-74.3367079,41.2695742,Orange,11.57894737,19
Deerpark Town PD,12,City,7732,12,12,deerpark town police department,4,39,0,43,-74.663464,41.4591459,Orange,10.36842105,19
Blooming Grove Town PD,12,City,11822,0,0,blooming grove town police department,5,105,0,110,-74.1916,41.40705,Orange,12,19
Montgomery Town PD,12,City,9222,0,0,montgomery town police department,0,8,0,8,-74.1992263,41.522293,Orange,11.58823529,17
Crawford Town PD,12,City,9210,0,0,crawford town police department,2,21,0,23,-74.377064,41.621893,Orange,12,19
Chester Town PD,12,City,8095,0,0,chester town police department,0,7,0,7,-74.275081,41.339698,Orange,12,19
Wallkill Town PD,12,City,29159,0,0,wallkill town police department,49,630,0,679,-74.3750022,41.4670444,Orange,12,19
Goshen Town PD,12,City,8938,12,12,goshen town police department,1,18,0,19,-74.3525148,41.3960657,Orange,11.94736842,19
Orleans County Sheriff,12,County,26849,0,0,orleans county sheriff's office,12,84,0,96,-78.2222623,43.2391071,Orleans,12,19
Albion Vg PD,12,City,5698,0,0,albion village police department,24,147,0,171,-78.1923194,43.2480994,Orleans,12,19
Holley Vg PD,12,City,1669,0,0,holley village police department,1,9,0,10,-78.0266826,43.2264486,Orleans,11.84210526,19
Medina Vg PD,12,City,5613,0,0,medina village police department,14,80,0,94,-78.387183,43.218936,Orleans,11.21052632,19
Oswego County Sheriff,12,County,81507,12,12,oswego county sheriff's office,35,260,0,295,-76.4800092,43.4314795,Oswego,12,19
Fulton City PD,,City,11017,0,0,fulton police department,9,258,0,267,-76.4151,43.321,Oswego,11.73684211,19
Oswego City PD,12,City,17138,12,12,oswego police department,41,453,0,494,-76.511238,43.454709,Oswego,12,19
Central Square Vg PD,12,City,1740,0,0,central square vlg police dept,0,40,0,40,-76.1370809,43.2845658,Oswego,11.68421053,19
Pulaski Vg PD,12,City,2211,0,0,pulaski village police department,0,29,0,29,-76.125797,43.570383,Oswego,11,19
Phoenix Vg PD,12,City,2226,0,0,phoenix vlg police dept,3,7,0,10,-76.299044,43.229298,Oswego,10.73684211,19
Otsego County Sheriff,12,County,43171,0,8,otsego county sheriff's office,7,15,0,22,-75.0611147,42.5779779,Otsego,12,19
Oneonta City PD,12,City,13904,11,12,oneonta police department,19,175,0,194,-75.0637217,42.4510248,Otsego,11.94736842,19
Cooperstown Vg PD,,City,1743,0,0,cooperstown village police department,0,1,0,1,-74.924321,42.7006303,Otsego,11.31578947,19
Putnam County Sheriff,9,County,46063,0,0,putnam county sheriff's office,12,117,0,129,-73.6765,41.4252,Putnam,12,19
Cold Spring Vg PD,12,City,1940,0,0,cold spring vlg police dept,0,12,0,12,-73.954583,41.4200937,Putnam,11.7,10
Brewster Vg PD,12,City,2329,0,0,brewster village pd brewster,2,9,0,11,-73.607069,41.395566,Putnam,9.222222222,18
Carmel Town PD,12,City,34093,10,12,carmel town police department,5,113,0,118,-73.7236408,41.3774592,Putnam,12,19
Kent Town PD,12,City,13123,0,0,kent town police department,1,38,0,39,-73.6708308,41.4784354,Putnam,12,19
Rensselaer County Sheriff,12,County,54944,0,0,rensselaer county sheriff's office,20,147,0,167,-73.7005691,42.709114,Rensselaer,12,19
Rensselaer City PD,12,City,9149,0,0,rensselaer police dept,19,83,0,102,-73.742898,42.6425794,Rensselaer,12,19
Troy City PD,12,City,49052,0,0,troy police department,330,1439,9,1769,-73.687,42.73,Rensselaer,12,19
Hoosick Falls Vg PD,12,City,3331,0,0,hoosick falls village police department,2,14,0,16,-73.3515001,42.9011892,Rensselaer,11.47368421,19
Nassau Vg PD,12,City,1094,0,0,nassau village police department,1,5,0,6,-73.609291,42.512088,Rensselaer,12,19
East Greenbush Town PD,12,City,16186,0,0,east greenbush town police department,15,530,0,545,-73.7017858,42.5909135,Rensselaer,12,19
North Greenbush Town PD,12,City,12264,0,0,north greenbush town police department,12,179,0,191,-73.6771662,42.6718547,Rensselaer,12,19
Schodack Town PD,12,City,11617,0,0,schodack town police department,6,47,0,53,-73.6771662,42.5191196,Rensselaer,12,19
Rockland County Sheriff,12,County,10682,11,1,rockland county sheriff's office,0,0,0,0,-73.9945993,41.1472342,Rockland,12,19
Piermont Vg PD,12,City,2533,8,9,piermont village police department,0,4,0,4,-73.918192,41.0420414,Rockland,12,19
South Nyack-Grand View PD,11,City,3294,11,0,south nyack - grand view village police department,1,15,0,16,-73.9217288,41.0835837,Rockland,12,19
Spring Valley Vg PD,12,City,32356,12,12,spring valley village police department,96,344,2,440,-74.0405979,41.1216407,Rockland,11.31578947,19
Suffern Vg PD,8,City,11037,0,10,suffern village police department,2,47,0,49,-74.1495889,41.1148179,Rockland,11.89473684,19
Clarkstown Town PD,12,City,80462,12,12,clarkstown town police department,44,875,0,919,-73.959494,41.1259715,Rockland,12,19
Haverstraw Town PD,12,City,37034,0,8,haverstraw town police department,29,225,2,254,-73.9645837,41.1975947,Rockland,12,19
Orangetown Town PD,12,City,37320,12,10,orangetown town police department,15,289,1,304,-73.9477384,41.0555461,Rockland,12,19
Ramapo Town PD,7,City,95165,0,0,ramapo town police department,73,485,0,558,-74.1684787,41.1412064,Rockland,12,19
Stony Point Town PD,12,City,15338,12,12,stony point town police department,3,45,0,48,-73.9870847,41.2295386,Rockland,12,19
nan,,Other State Agency,0,0,0,nys park police palisades region,0,0,0,0,-74.2179326,43.2994285,-,,
St Lawrence County Sheriff,12,County,61104,12,12,st. lawrence county sheriff's office,8,20,0,28,-74.930206,44.4473142,St. Lawrence,12,19
Ogdensburg City PD,12,City,10364,12,12,ogdensburg police department,22,131,0,153,-75.475097,44.6973219,St. Lawrence,12,19
Massena Vg PD,12,City,10123,11,11,massena village police department,7,90,0,97,-74.891865,44.9281049,St. Lawrence,12,19
Canton Vg PD,12,City,6516,4,12,canton village police department,0,13,0,13,-75.17083883,44.595036,St. Lawrence,12,19
Gouverneur Vg PD,12,City,3637,12,12,gouverneur village police department,0,0,0,0,-75.462993,44.3367281,St. Lawrence,9.076923077,13
Norwood Vg PD,12,City,1549,0,0,norwood vlg police dept,3,15,0,18,-74.99672,44.74968,St. Lawrence,10.4,10
Potsdam Vg PD,10,City,8943,8,9,potsdam village police department,2,45,0,47,-74.9829816,44.6694123,St. Lawrence,12,19
Norfolk Town PD,12,City,4380,0,0,norfolk town police dept,1,1,0,2,-74.98689,44.79917,St. Lawrence,9.388888889,18
Saratoga County Sheriff,12,County,171244,12,12,saratoga county sheriff's office,66,890,0,956,-73.8736274,43.0201976,Saratoga,12,19
Saratoga Springs City PD,12,City,28397,0,0,saratoga springs police department,53,453,1,506,-73.784045,43.0832466,Saratoga,12,19
Ballston Spa Vg PD,12,City,5204,0,0,ballston spa village police department,0,39,0,39,-73.8490111,43.0009086,Saratoga,12,19
Mechanicville City PD,12,City,5018,0,0,mechanicville police department,13,41,0,54,-73.685286,42.9036899,Saratoga,12,19
South Glens Falls Vg PD,12,City,3647,0,0,south glens falls village police department,5,28,0,33,-73.6351168,43.2992389,Saratoga,12,19
nan,,Other State Agency,0,0,0,nys park police saratoga/capital region,0,0,0,0,-73.7485195,42.669682,Saratoga,,
Waterford Town and Vg PD,12,City,8466,0,0,waterford town police department,3,17,0,20,-73.678697,42.790465,Saratoga,12,19
Allegany Vg PD,12,City,190,0,0,galway vlg police dept,,,,,-74.055834,43.027298,Cattaraugus,11.89473684,19
Stillwater Town PD,12,City,7340,0,0,stillwater town police dept,1,14,0,15,-73.6531731,42.9384101,Saratoga,12,19
Schenectady City PD,12,City,7446,0,12,schenectady police department,468,1652,5,2120,-73.9369093,42.8145774,Schenectady,12,19
Schenectady County Sheriff,12,County,65176,12,12,schenectady county sheriff's office,4,10,0,14,-73.9399962,42.8099415,Schenectady,12,19
Scotia Vg PD,12,City,7631,0,0,scotia village police department,7,146,0,153,-73.9638118,42.8268917,Schenectady,12,19
Glenville Town PD,12,City,21609,0,0,glenville town police department,12,313,0,325,-74.0520717,42.9292419,Schenectady,12,19
Niskayuna Town PD,12,City,22428,0,0,niskayuna town police department,18,422,0,440,-73.8914407,42.8000049,Schenectady,12,19
Rotterdam Town PD,12,City,30071,0,12,rotterdam town police department,35,715,0,750,-73.9709583,42.7870209,Schenectady,12,19
Schoharie County Sheriff,12,County,25492,0,12,schoharie county sheriff's office,4,37,0,41,-74.3718947,42.6889725,Schoharie,12,19
Cobleskill Vg PD,12,City,4323,0,0,cobleskill village police department,19,126,0,145,-74.4854172,42.677853,Schoharie,12,19
Schoharie Vg PD,12,City,806,0,0,schoharie village pd schoharie,0,4,0,4,-74.3112254,42.6642037,Schoharie,12,13
Schuyler County Sheriff,12,County,15763,0,0,schuyler county sheriff's office,6,10,0,16,-76.8705473,42.3766269,Schuyler,12,19
Watkins Glen Vg PD,,City,1874,0,0,watkins glen village police department,0,7,0,7,-76.8732921,42.3806287,Schuyler,11.57894737,19
Seneca County Sheriff,12,County,19652,12,11,seneca county sheriff's office,7,81,0,88,-76.8283,42.7197,Seneca,12,19
Seneca Falls Town PD,12,City,8573,12,12,seneca falls town,15,163,0,178,-76.7966215,42.9106219,Seneca,7.714285714,14
Interlaken Vg PD,,City,598,0,0,interlaken vlg police dept,0,0,0,0,-76.724572,42.618671,Seneca,5.636363636,11
Waterloo Vg PD,12,City,4842,12,11,waterloo vlg police dept,10,35,1,45,-76.8650293,42.9043882,Seneca,12,19
Steuben County Sheriff,12,County,58880,0,9,steuben county sheriff's office,10,76,0,86,-77.2953209,42.3495372,Steuben,12,19
Corning City PD,12,City,10469,0,0,corning police department,33,274,1,307,-77.04733,42.14159,Steuben,12,19
Hornell City PD,,City,8272,0,0,hornell police department,0,0,0,0,-77.6611025,42.3278477,Steuben,10.55555556,18
Addison Vg PD,12,City,2458,0,0,addison village police department,6,7,0,13,-77.23757,42.103628,Steuben,11.36842105,19
Bath Vg PD,,City,5438,0,0,bath village police department,2,44,0,46,-77.317328,42.3357929,Steuben,11.57894737,19
Canisteo Vg PD,12,City,2120,0,0,canisteo vlg police dept,1,4,0,5,-77.6058225,42.2703487,Steuben,12,19
Cohocton Town PD,11,City,2435,0,0,cohocton town police dept,0,3,0,3,-77.5072102,42.5022907,Steuben,7.470588235,17
Painted Post Vg PD,3,City,1939,0,0,painted post village police department,1,2,0,3,-77.0941366,42.1620186,Steuben,11.63157895,19
Hammondsport Vg PD,12,City,618,0,0,hammondsport village police department,0,16,0,16,-77.2235873,42.4078495,Steuben,8,17
Wayland Vg PD,,City,1753,0,0,wayland village police department,0,3,0,3,-77.591761,42.568122,Steuben,12,19
Suffolk County Sheriff,12,County,0,0,0,suffolk county sheriff's office,18,0,0,18,-72.6151169,40.9848784,Suffolk,12,19
Suffolk County PD,12,County,1303112,0,0,suffolk county police department,1118,14966,30,16084,-72.6151169,40.9848784,Suffolk,12,19
Amityville Vg PD,12,City,9387,0,0,amityville village police department,5,61,2,66,-73.4170673,40.6789893,Suffolk,12,19
Sag Harbor Vg PD,12,City,2296,0,0,sag harbor village police department,0,0,0,0,-72.2925819,40.9978773,Suffolk,10.8,15
Northport Vg PD,,City,7258,0,0,northport village police department,0,2,0,2,-73.3474691,40.9005559,Suffolk,11.89473684,19
Southampton Vg PD,12,City,3330,0,0,southampton village police department,0,45,0,45,-72.393649,40.887693,Suffolk,11.52631579,19
East Hampton Vg PD,12,City,1140,0,0,east hampton village police department,1,23,0,24,-72.18281,40.969376,Suffolk,12,19
Ocean Beach Vg PD,12,City,83,0,0,ocean beach village police dept,0,9,0,9,-73.1566,40.6492,Suffolk,11.47368421,19
Huntington Bay Vg PD,12,City,1436,0,0,huntington bay village police department,0,7,0,7,-73.4148418,40.8998203,Suffolk,12,19
Lloyd Harbor Vg PD,11,City,3655,0,0,lloyd harbor village police department,2,12,0,14,-73.4598432,40.9034315,Suffolk,11.94736842,19
Quogue Vg PD,12,City,1019,0,0,quogue village police department,1,31,0,32,-72.6090335,40.8180969,Suffolk,12,19
Westhampton Beach Vg PD,12,City,1806,0,0,westhampton beach village police department,0,24,0,24,-72.6458277,40.8093799,Suffolk,12,19
Nissequogue Vg PD,12,City,1730,0,0,nissequogue village police department,0,10,0,10,-73.1978899,40.9039869,Suffolk,11.94736842,19
Asharoken Vg PD,12,City,644,0,0,asharoken village police department,0,1,0,1,-73.3598395,40.9278757,Suffolk,11.94444444,18
Head-of-the-Harbor Vg PD,,City,1455,0,0,head of the harbor vlg pd,0,0,0,0,-73.1578885,40.9034315,Suffolk,7,5
East Hampton Town PD,12,City,19927,0,0,east hampton town police department,2,86,0,88,-72.2500788,40.9557328,Suffolk,12,19
Riverhead Town PD,12,City,33461,0,0,riverhead town police department,28,479,0,507,-72.6620402,40.9170435,Suffolk,12,19
Shelter Island Town PD,12,City,2419,0,0,shelter island town police department,0,0,0,0,-72.3386939,41.0681549,Suffolk,12,19
Southampton Town PD,12,City,51162,0,0,southampton town police department,38,595,1,633,-72.5388485,40.8867053,Suffolk,12,19
Southold Town PD,12,City,19957,12,12,southold town police department,11,270,0,281,-72.4261962,41.0648222,Suffolk,12,19
nan,,Other State Agency,0,0,0,nys park police long island region,0,0,0,0,-73.134961,40.789142,-,,
Sullivan County Sheriff,12,County,51177,0,0,sullivan county sheriff's office,23,222,3,245,-74.7025,41.6698,Sullivan,12,19
Liberty Vg PD,12,City,4182,0,0,liberty village police department,24,150,1,174,-74.74583,41.79917,Sullivan,12,19
Monticello Vg PD,12,City,6338,0,0,monticello village police department,23,83,0,106,-74.6819164,41.6542875,Sullivan,12,19
Woodridge Vg PD,12,City,771,0,0,woodridge vlg police dept,3,11,0,14,-74.569612,41.708479,Sullivan,10.36842105,19
Fallsburg Town PD,11,City,12264,0,0,fallsburg town police department,0,5,0,5,-74.62882,41.7074799,Sullivan,12,19
Tioga County Sheriff,12,County,39668,0,8,tioga county sheriff's office,14,118,0,132,-76.2663066,42.1416852,Tioga,12,19
Waverly Vg PD,10,City,4083,0,0,waverly village police department,0,4,0,4,-76.53918,42.00091,Tioga,12,19
Owego Vg PD,12,City,3846,0,0,owego village police department,15,176,0,191,-76.2621549,42.1034075,Tioga,12,19
Tompkins County Sheriff,2,County,61078,0,0,tompkins county sheriff's office,27,242,0,269,-76.4668825,42.4927791,Tompkins,12,19
Ithaca City PD,12,City,30927,0,0,ithaca police department,98,1159,0,1257,-76.4974745,42.4370315,Tompkins,11.89473684,19
Dryden Vg PD,12,City,2066,0,0,dryden village police department,3,57,0,60,-76.2978284,42.4895252,Tompkins,12,19
Groton Vg PD,12,City,2211,0,0,groton village police department,0,35,0,35,-76.367083,42.590517,Tompkins,12,19
Trumansburg Vg PD,12,City,1709,0,0,trumansburg vlg police dept,0,26,0,26,-76.6660589,42.5422939,Tompkins,9,18
Cayuga Heights Vg PD,12,City,3589,0,0,cayuga heights village police department,2,15,0,17,-76.4866067,42.4595171,Tompkins,12,19
nan,,Other State Agency,0,0,0,nys park police finger lakes region,0,0,0,0,-76.9297247,42.7238165,-,,
Ulster County Sheriff,12,County,41917,12,12,ulster county sheriff's office,5,117,0,122,-74.0163128,41.9126347,Ulster,12,19
Kingston City PD,12,City,22682,0,0,kingston police department,85,460,3,545,-73.9856,41.921,Ulster,12,19
nan,,Other,0,11,3,ulster reg gng enf nrc t,1,0,0,1,,,Ulster,,
Ellenville Vg PD,,City,4000,0,0,ellenville village police department,9,20,0,29,-74.3957099,41.7170379,Ulster,11.73684211,19
New Paltz Town and Vg PD,9,City,14040,9,0,new paltz town & village police department,0,0,0,0,-74.0868095,41.7475933,Ulster,12,19
Lloyd Town PD,12,City,10484,10,12,lloyd town police department,6,81,0,87,-73.964046,41.71714,Ulster,11.63157895,19
Marlborough Town PD,12,City,8579,5,12,marlborough town police department,2,19,0,21,-73.9601776,41.6592464,Ulster,12,19
Plattekill Town PD,12,City,10168,12,12,plattekill town police dept,0,29,0,29,-74.0593872,41.6239741,Ulster,12,19
Woodstock Town PD,12,City,5754,11,12,woodstock town police department,4,43,0,47,-74.1214941,42.0405945,Ulster,12,19
Saugerties Town PD,12,City,18956,11,11,saugerties town police department,21,146,1,167,-73.9529126,42.0775906,Ulster,12,19
Shandaken Town PD,12,City,2921,8,9,shandaken town police department,0,1,0,1,-74.3954274,42.1200896,Ulster,12,19
Rosendale Town PD,12,City,5755,10,4,rosendale town police department,0,19,0,19,-74.0810669,41.8443125,Ulster,12,19
Ulster Town PD,12,City,12626,11,6,ulster town police department,11,155,0,166,-74.0027535,41.9766507,Ulster,12,19
Olive Town PD,,City,4254,0,0,olive town police department,0,3,0,3,-74.229079,41.974996,Ulster,10.36842105,19
Shawangunk Town PD,12,City,13782,11,9,shawangunk town police department,3,39,0,42,-74.1944529,41.6284438,Ulster,12,19
Warren County Sheriff,12,County,46897,12,11,warren county sheriff's office,32,306,0,338,-73.69902,43.36007,Warren,12,19
Glens Falls City PD,12,City,14215,12,12,glens falls police department,10,105,0,115,-73.6443307,43.3108637,Warren,12,19
Bolton Town PD,12,City,2239,0,0,bolton town police department,0,6,0,6,-73.6557142,43.5571029,Warren,11.94736842,19
Washington County Sheriff,12,County,41826,0,0,washington county sheriff's office,21,73,0,94,-73.58899359,43.28901054,Washington,12,19
Cambridge Vg PD,12,City,1803,0,0,cambridge village police department,1,17,0,18,-73.3778424,43.0371415,Washington,12,19
Greenwich Vg PD,12,City,1708,0,0,greenwich village police department,0,11,0,11,-73.503115,43.091569,Washington,12,19
Fort Edward Vg PD,12,City,3256,7,0,fort edward village police department,2,2,0,4,-73.5845597,43.2670175,Washington,11.89473684,19
Granville Vg PD,12,City,2428,0,0,granville village police department,2,7,0,9,-73.266641,43.402174,Washington,12,19
Hudson Falls Vg PD,12,City,7029,0,0,hudson falls village police department,7,17,0,24,-73.5859487,43.3006281,Washington,12,19
Whitehall Vg PD,12,City,2533,0,0,whitehall village police department,0,0,0,0,-73.403113,43.55326,Washington,11.84210526,19
Wayne County Sheriff,12,County,61892,0,0,wayne county sheriff's office,42,217,0,259,-77.0317,43.066,Wayne,12,19
Newark Vg PD,12,City,8784,0,0,newark village police department,31,294,0,325,-77.093574,43.04607,Wayne,12,19
Wolcott Vg PD,,City,1604,0,0,wolcott village police department,0,0,0,0,-76.815515,43.21968,Wayne,8.470588235,17
Clyde Vg PD,12,City,1948,0,0,clyde village police department,5,34,0,39,-76.870477,43.083574,Wayne,12,19
Palmyra Vg PD,12,City,3299,0,0,palmyra village police department,0,10,0,10,-77.2319441,43.0632887,Wayne,12,19
Sodus Vg PD,,City,1696,0,0,sodus village police department,0,0,0,0,-77.0615419,43.2355352,Wayne,11.88888889,18
Sodus Point Vg PD,,City,854,0,0,sodus point village police department,0,0,0,0,-76.9891355,43.2717322,Wayne,12,14
Macedon Town and Vg PD,12,City,8856,0,0,macedon town police department,9,88,0,97,-77.2988746,43.0692299,Wayne,12,19
Westchester Co Dept Pub Safety,12,County,69019,0,0,westchester county department of public safety,15,154,0,169,-73.7948516,41.1220194,Westchester,12,19
Peekskill City PD,12,City,24371,0,0,peekskill police department,33,177,3,210,-73.9223596,41.2906825,Westchester,12,19
White Plains City PD,12,City,58240,0,0,white plains police department,72,961,2,1033,-73.7629097,41.0339862,Westchester,12,19
Mount Vernon City PD,12,City,67339,0,0,mount vernon police department,382,894,7,1276,-73.8385051,40.9128802,Westchester,12,19
New Rochelle City PD,12,City,78707,12,11,new rochelle police department,20,263,0,283,-73.7863858,40.9189368,Westchester,12,19
Ossining Vg PD,12,City,24786,0,0,ossining village police department,17,197,0,214,-73.8639906,41.1585595,Westchester,12,19
Port Chester Vg PD,12,City,29181,0,0,port chester village police department,22,212,0,234,-73.6656834,41.0017643,Westchester,12,19
Yonkers City PD,12,City,200816,11,11,yonkers police department,653,2002,7,2655,-73.8971364,40.9302933,Westchester,12,19
Rye City PD,12,City,15692,0,0,rye police department,0,20,0,20,-73.6830864,40.9852935,Westchester,12,19
Mamaroneck Vg PD,12,City,19154,0,0,mamaroneck village police department,20,182,0,202,-73.7350082,40.9491093,Westchester,12,19
Scarsdale Vg PD,12,City,17953,12,3,scarsdale village police department,3,123,0,126,-73.7845768,41.0050977,Westchester,12,19
