Agency,Index Crime Months,agency_type,population_21,NIBRS Months_21,NIBRS Months_22,agency_name_full,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,County,Historical mean,Historical count
Elmira Heights Vg PD,12,City,3774,0,0,elmira heights village police department,2,84,0,86,-76.8207898,42.1297967,Chemung,12,19
Horseheads Vg PD,12,City,6325,0,0,horseheads village police department,14,97,0,111,-76.8205119,42.167019,Chemung,11.78947368,19
Elmira Town PD,12,City,5529,0,0,elmira town police department,0,0,0,0,-76.8077338,42.0897965,Chemung,12,16
Chenango County Sheriff,7,County,32422,0,0,chenango county sheriff's office,22,235,0,257,-75.538678,42.5072663,Chenango,12,19
Afton Vg PD,,City,795,0,0,afton village police department,0,0,0,0,-75.5284648,42.2314619,Chenango,11.25,16
Bainbridge Vg PD,,City,1296,0,0,bainbridge village police department,0,0,0,0,-75.479962,42.2943,Chenango,11.05882353,17
Greene Vg PD,,City,1400,0,0,greene village police department,0,14,0,14,-75.7711924,42.3297316,Chenango,12,14
Norwich City PD,10,City,6474,0,9,norwich police department,28,169,0,197,-75.522379,42.531024,Chenango,12,19
Oxford Vg PD,12,City,1372,0,0,oxford village police department,0,3,0,3,-75.601504,42.443377,Chenango,11.5,18
Sherburne Vg PD,12,City,1301,0,0,sherburne village police department,3,13,0,16,-75.5003,42.678416,Chenango,12,19
New Berlin Town PD,12,City,1507,0,0,new berlin town police department,0,5,0,5,-75.3321,42.6252,Chenango,11.94444444,18
Clinton County Sheriff,12,County,60338,0,0,clinton county sheriff's office,0,0,0,0,-73.4672,44.7202,Clinton,12,19
Plattsburgh City PD,12,City,19460,0,0,plattsburgh police department,27,240,0,267,-73.4543886,44.6922706,Clinton,12,19
Columbia County Sheriff,12,County,43015,0,0,columbia county sheriff's office,26,254,0,280,-73.7564,42.2493,Columbia,12,19
Hudson City PD,12,City,6004,12,8,hudson police department,22,158,0,180,-73.788767,42.249985,Columbia,12,19
Philmont Vg PD,,City,1246,0,0,philmont vlg police dept,0,0,0,0,-73.64855,42.24948,Columbia,6,11
Greenport Town PD,8,City,4246,0,0,greenport town police department,1,23,0,24,-72.3592501,41.1034326,Columbia,12,19
Chatham Vg PD,,City,1606,0,0,chatham village police department,0,1,0,1,-73.59467,42.36364,Columbia,12,19
nan,,City,2585,0,0,columbia greene humane society,0,0,0,0,-73.748558,42.2675743,Columbia,,
Cortland County Sheriff,6,County,25399,0,11,cortland county sheriff's office,15,97,1,112,-75.9927652,42.5440918,Cortland,12,19
Cortland City PD,12,City,18615,0,12,cortland police department,49,514,0,563,-76.1784759,42.5990963,Cortland,12,19
Homer Vg PD,,City,3081,0,0,homer village police department,0,1,0,1,-76.182519,42.637662,Cortland,11.78947368,19
Delaware County Sheriff,12,County,31333,0,0,delaware county sheriff's office,30,160,1,190,-74.785804,42.188935,Delaware,12,19
Delhi Vg PD,12,City,2935,0,0,delhi village police department,2,24,0,26,-74.918,42.27866,Delaware,12,19
Hancock Vg PD,12,City,923,0,0,hancock village police department,1,8,0,9,-75.280438,41.954376,Delaware,12,17
Sidney Vg PD,12,City,3553,0,0,sidney village police department,6,41,0,47,-75.390512,42.317222,Delaware,12,19
Walton Vg PD,,City,2768,0,0,walton village police department,0,0,0,0,-75.135056,42.171396,Delaware,11.4375,16
Colchester Town PD,12,City,1947,0,0,colchester town police department,1,9,0,10,-74.994889,42.08182,Delaware,12,17
Dutchess County Sheriff,12,County,117314,12,12,dutchess county sheriff's office,34,376,0,410,-73.921878,41.7125166,Dutchess,12,19
Beacon City PD,12,City,13984,12,12,beacon police department,15,124,0,139,-73.9784785,41.508021,Dutchess,11.73684211,19
Poughkeepsie City PD,12,City,30480,0,0,poughkeepsie police department,243,530,6,773,-73.9209701,41.7003713,Dutchess,12,19
Fishkill Vg PD,12,City,2153,0,12,fishkill village police department,2,30,0,32,-73.8990252,41.5356492,Dutchess,12,19
Millerton Vg PD,12,City,2938,0,0,millerton vlg police dept,,,,,-73.5106791,41.9537035,Dutchess,8,15
Wappingers Falls Vg PD,12,City,5540,0,0,wappingers falls village police department,7,39,0,46,-73.91097,41.5964825,Dutchess,12,19
Red Hook Vg PD,12,City,1951,0,0,red hook village police department,5,33,0,38,-73.8754114,41.9950919,Dutchess,8.105263158,19
