Agency,Index Crime Months,agency_type,population_21,NIBRS Months_21,NIBRS Months_22,agency_name_full,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,County,Historical mean,Historical count
Brighton Town PD,12.0,City,35853,12,12,brighton town police department,34.0,705.0,0.0,739.0,-77.664656,43.464475,Monroe,11.894736842105264,19.0
Gates Town PD,7.0,City,28222,0,0,gates town police department,65.0,731.0,0.0,796.0,-77.664656,43.464475,Monroe,12.0,19.0
Greece Town PD,12.0,City,95431,12,12,greece town police department,150.0,1714.0,2.0,1864.0,-77.664656,43.464475,Monroe,12.0,19.0
Ogden Town PD,12.0,City,20603,12,12,ogden town police department,11.0,156.0,0.0,167.0,-77.664656,43.464475,Monroe,12.0,19.0
Webster Town and Vg PD,12.0,City,45449,12,12,webster town police department,27.0,367.0,0.0,394.0,-77.664656,43.464475,Monroe,12.0,19.0
Montgomery County Sheriff,12.0,County,25113,12,11,montgomery county sheriff's office,6.0,238.0,0.0,244.0,-74.435357,42.900891,Montgomery,12.0,19.0
Amsterdam City PD,12.0,City,17675,0,0,amsterdam police department,37.0,284.0,0.0,321.0,-74.435357,42.900891,Montgomery,12.0,19.0
Canajoharie Vg PD,12.0,City,2122,0,0,canajoharie village police department,1.0,14.0,0.0,15.0,-74.435357,42.900891,Montgomery,9.0625,16.0
Fort Plain Vg PD,12.0,City,2212,0,0,fort plain village police department,8.0,52.0,0.0,60.0,-74.435357,42.900891,Montgomery,11.947368421052632,19.0
St Johnsville Vg PD,12.0,City,1668,0,0,saint johnsville village police department,1.0,15.0,0.0,16.0,-74.435357,42.900891,Montgomery,10.526315789473685,19.0
Nassau County PD,12.0,County,1053945,0,0,nassau county police department,1304.0,8610.0,14.0,9914.0,-73.589419,40.729612,Nassau,12.0,19.0
Glen Cove City PD,12.0,City,27186,0,0,glen cove police department,3.0,108.0,0.0,111.0,-73.589419,40.729612,Nassau,12.0,19.0
Long Beach City PD,12.0,City,33461,0,0,long beach police department,13.0,46.0,0.0,59.0,-73.589419,40.729612,Nassau,12.0,19.0
Floral Park Vg PD,12.0,City,15844,0,0,floral park village police department,10.0,61.0,0.0,71.0,-73.589419,40.729612,Nassau,12.0,19.0
Freeport Vg PD,,City,42962,0,7,freeport village police department,73.0,263.0,1.0,336.0,-73.589419,40.729612,Nassau,11.947368421052632,19.0
Garden City Vg PD,12.0,City,22465,0,0,garden city village police department,5.0,243.0,0.0,248.0,-73.589419,40.729612,Nassau,12.0,19.0
Hempstead Vg PD,12.0,City,55230,12,12,hempstead village police department,357.0,571.0,8.0,928.0,-73.589419,40.729612,Nassau,12.0,19.0
Lynbrook Vg PD,12.0,City,19441,0,0,lynbrook village police department,15.0,115.0,0.0,130.0,-73.589419,40.729612,Nassau,12.0,19.0
Rockville Centre Vg PD,12.0,City,24604,0,0,rockville centre police department,14.0,106.0,0.0,120.0,-73.589419,40.729612,Nassau,12.0,19.0
Great Neck Estates Vg PD,11.0,City,2892,0,0,great neck estates village police department,1.0,8.0,0.0,9.0,-73.589419,40.729612,Nassau,12.0,18.0
Sands Point Vg PD,12.0,City,2919,0,0,sands point village police department,1.0,12.0,0.0,13.0,-73.589419,40.729612,Nassau,11.789473684210526,19.0
Malverne Vg PD,12.0,City,8482,0,0,malverne village police department,0.0,16.0,0.0,16.0,-73.589419,40.729612,Nassau,11.894736842105264,19.0
Kensington Vg PD,12.0,City,1193,0,0,kensington village police department,0.0,0.0,0.0,0.0,-73.589419,40.729612,Nassau,11.916666666666666,12.0
Old Westbury Vg PD,12.0,City,4603,12,12,old westbury village police department,1.0,21.0,0.0,22.0,-73.589419,40.729612,Nassau,12.0,19.0
Kings Point Vg PD,12.0,City,5315,0,0,kings point village police department,0.0,12.0,0.0,12.0,-73.589419,40.729612,Nassau,11.631578947368421,19.0
Centre Island Vg PD,,City,409,0,0,centre island village police department,0.0,1.0,0.0,1.0,-73.589419,40.729612,Nassau,11.777777777777779,18.0
Port Washington Police District,12.0,City,19391,0,0,port washington police district,8.0,115.0,0.0,123.0,-73.589419,40.729612,Nassau,11.631578947368421,19.0
Lake Success Vg PD,12.0,City,3161,0,0,lake success village police department,0.0,14.0,0.0,14.0,-73.589419,40.729612,Nassau,12.0,19.0
Old Brookville Vg PD,12.0,City,2196,0,0,old brookville village police department,1.0,47.0,0.0,48.0,-73.589419,40.729612,Nassau,11.947368421052632,19.0
Oyster Bay Cove Vg PD,12.0,City,4300,0,0,oyster bay cove village police department,0.0,17.0,0.0,17.0,-73.589419,40.729612,Nassau,11.947368421052632,19.0
nan,,City,8300377,0,0,new york city police department,47959.0,129361.0,468.0,177320.0,-73.970174,40.776557,,,
nan,,Other State Agency,0,0,0,nys park police new york city region,0.0,0.0,0.0,0.0,-73.970174,40.776557,,,
nan,,Other,0,0,0,metro north rr pd metro transit auth new york,0.0,0.0,0.0,0.0,-73.970174,40.776557,,,
Niagara County Sheriff,12.0,County,79559,12,12,niagara county sheriff's office,28.0,542.0,0.0,570.0,-78.792142,43.456731,Niagara,12.0,19.0
Lockport City PD,5.0,City,20212,0,0,lockport police department,116.0,491.0,0.0,607.0,-78.792142,43.456731,Niagara,12.0,19.0
Niagara Falls City PD,12.0,City,47474,12,12,niagara falls police department,369.0,1951.0,9.0,2320.0,-78.792142,43.456731,Niagara,12.0,19.0
North Tonawanda City PD,12.0,City,30104,12,12,north tonawanda police department,37.0,331.0,0.0,368.0,-78.792142,43.456731,Niagara,12.0,19.0
Middleport Vg PD,12.0,City,1733,0,0,middleport village police department,1.0,11.0,0.0,12.0,-78.792142,43.456731,Niagara,12.0,19.0
Youngstown Vg PD,12.0,City,1871,12,6,youngstown vlg police dept,0.0,1.0,0.0,1.0,-78.792142,43.456731,Niagara,10.736842105263158,19.0
nan,,City,504,0,0,barker village police department,,,,,,,,,
Lewiston Town PD,12.0,City,15671,6,11,lewiston town police department,4.0,87.0,0.0,91.0,-78.792142,43.456731,Niagara,11.947368421052632,19.0
Niagara Town PD,12.0,City,8012,9,12,niagara town police department,1.0,196.0,0.0,197.0,-78.792142,43.456731,Niagara,12.0,19.0
Somerset Town PD,12.0,City,2032,6,6,somerset town pd barker,,,,,,,Niagara,9.0,3.0
nan,,Other State Agency,0,0,0,nys park police niagara region,0.0,0.0,0.0,0.0,-78.792142,43.456731,,,
Rome City PD,12.0,City,31978,12,12,rome police department,65.0,570.0,0.0,635.0,-75.434282,43.242727,Oneida,12.0,19.0
Utica City PD,12.0,City,59483,12,12,utica police department,298.0,2023.0,1.0,2321.0,-75.434282,43.242727,Oneida,12.0,19.0
Boonville Vg PD,11.0,City,1974,0,0,boonville village police department,0.0,20.0,0.0,20.0,-75.434282,43.242727,Oneida,11.789473684210526,19.0
Camden Vg PD,12.0,City,2151,0,0,camden village police department,0.0,22.0,0.0,22.0,-75.434282,43.242727,Oneida,11.631578947368421,19.0
Sherrill City PD,12.0,City,2964,0,12,sherrill police department,0.0,18.0,0.0,18.0,-75.434282,43.242727,Oneida,12.0,19.0
Vernon Vg PD,12.0,City,1142,0,0,vernon village police department,3.0,3.0,0.0,6.0,-75.434282,43.242727,Oneida,12.0,19.0
Whitesboro Vg PD,12.0,City,3595,0,0,whitesboro village police department,0.0,0.0,0.0,0.0,-75.434282,43.242727,Oneida,11.555555555555555,18.0
Yorkville Vg PD,,City,2556,0,0,yorkville village police department,0.0,0.0,0.0,0.0,-75.434282,43.242727,Oneida,9.0,17.0
Oriskany Vg PD,12.0,City,1321,0,0,oriskany vlg police dept,0.0,7.0,0.0,7.0,-75.434282,43.242727,Oneida,11.947368421052632,19.0
New York Mills Vg PD,12.0,City,3200,0,0,new york mills village police department,2.0,44.0,0.0,46.0,-75.434282,43.242727,Oneida,11.842105263157896,19.0
New Hartford Town and Vg PD,12.0,City,20173,12,12,new hartford town police department,18.0,467.0,0.0,485.0,-75.434282,43.242727,Oneida,12.0,19.0
Whitestown Town PD,12.0,City,8948,0,0,whitestown town police department,0.0,20.0,0.0,20.0,-75.434282,43.242727,Oneida,12.0,19.0
Kirkland Town PD,,City,8323,0,0,kirkland town police department,0.0,0.0,0.0,0.0,-75.434282,43.242727,Oneida,12.0,18.0
Onondaga County Sheriff,12.0,County,174528,0,0,onondaga county sheriff's office,219.0,1689.0,1.0,1908.0,-76.196117,43.00653,Onondaga,12.0,19.0
Syracuse City PD,12.0,City,142011,0,0,syracuse police department,1192.0,4057.0,32.0,5249.0,-76.196117,43.00653,Onondaga,12.0,19.0
Jordan Vg PD,12.0,City,1294,0,0,jordan village police department,0.0,3.0,0.0,3.0,-76.196117,43.00653,Onondaga,12.0,16.0
Solvay Vg PD,12.0,City,6196,0,0,solvay village police department,14.0,66.0,0.0,80.0,-76.196117,43.00653,Onondaga,12.0,19.0
Baldwinsville Vg PD,12.0,City,7895,0,0,baldwinsville village police department,4.0,51.0,0.0,55.0,-76.196117,43.00653,Onondaga,12.0,19.0
Manlius Town PD,12.0,City,24139,0,0,manlius town police department,15.0,261.0,0.0,276.0,-76.196117,43.00653,Onondaga,12.0,19.0
Marcellus Vg PD,12.0,City,1707,0,0,marcellus vlg police dept,0.0,7.0,0.0,7.0,-76.196117,43.00653,Onondaga,11.842105263157896,19.0
Liverpool Vg PD,12.0,City,2191,0,0,liverpool village police department,0.0,10.0,0.0,10.0,-76.196117,43.00653,Onondaga,11.947368421052632,19.0
Skaneateles Vg PD,12.0,City,2466,0,0,skaneateles village police department,0.0,21.0,0.0,21.0,-76.196117,43.00653,Onondaga,12.0,19.0
North Syracuse Vg PD,11.0,City,6607,0,0,north syracuse village police department,15.0,109.0,0.0,124.0,-76.196117,43.00653,Onondaga,11.947368421052632,19.0
Camillus Town and Vg PD,12.0,City,24098,0,0,camillus town and village police department,13.0,266.0,0.0,279.0,-76.196117,43.00653,Onondaga,12.0,19.0
Cicero Town PD,12.0,City,28755,0,0,cicero town police department,14.0,291.0,0.0,305.0,-76.196117,43.00653,Onondaga,11.736842105263158,19.0
DeWitt Town PD,12.0,City,24947,0,0,dewitt town police department,46.0,725.0,0.0,771.0,-76.196117,43.00653,Onondaga,11.722222222222221,18.0
Geddes Town PD,12.0,City,10002,0,0,geddes town police department,6.0,176.0,0.0,182.0,-76.196117,43.00653,Onondaga,12.0,19.0
nan,,Other State Agency,0,0,0,nys park police central region,0.0,0.0,0.0,0.0,-76.196117,43.00653,,,
Ontario County Sheriff,12.0,County,81092,0,0,ontario county sheriff's office,58.0,708.0,1.0,766.0,-77.303277,42.856695,Ontario,12.0,19.0
Geneva City PD,12.0,City,12569,0,0,geneva police department,38.0,173.0,0.0,211.0,-77.303277,42.856695,Ontario,12.0,19.0
Clifton Springs Vg PD,5.0,City,1993,0,0,clifton springs village police department,0.0,0.0,0.0,0.0,-77.303277,42.856695,Ontario,10.571428571428571,14.0
Manchester Vg PD,,City,1603,0,0,manchester vlg police dept,0.0,0.0,0.0,0.0,-77.303277,42.856695,Ontario,12.0,8.0
Phelps Vg PD,,City,1889,0,0,phelps vlg police dept,0.0,0.0,0.0,0.0,-77.303277,42.856695,Ontario,10.6875,16.0
Canandaigua City PD,12.0,City,10112,0,0,canandaigua police department,37.0,220.0,1.0,257.0,-77.303277,42.856695,Ontario,10.842105263157896,19.0
Orange County Sheriff,12.0,County,63383,0,0,orange county sheriff's office,2.0,15.0,0.0,17.0,-74.306252,41.40241,Orange,12.0,19.0
Middletown City PD,12.0,City,28194,12,12,middletown police department,90.0,385.0,1.0,475.0,-74.306252,41.40241,Orange,12.0,19.0
Newburgh City PD,12.0,City,28095,0,0,newburgh city police department,285.0,724.0,4.0,1009.0,-74.306252,41.40241,Orange,12.0,19.0
Washingtonville Vg PD,12.0,City,5755,0,0,washingtonville village police department,2.0,30.0,0.0,32.0,-74.306252,41.40241,Orange,11.947368421052632,19.0
Chester Vg PD,12.0,City,4108,0,12,chester village police department,2.0,13.0,0.0,15.0,-74.306252,41.40241,Orange,12.0,19.0
Cornwall-on-Hudson Vg PD,12.0,City,2911,0,0,cornwall-on-hudson village police department,0.0,21.0,0.0,21.0,-74.306252,41.40241,Orange,11.75,16.0
Goshen Vg PD,12.0,City,5361,0,0,goshen village police department,2.0,21.0,0.0,23.0,-74.306252,41.40241,Orange,11.894736842105264,19.0
Highland Falls Vg PD,12.0,City,3822,0,0,highland falls village police department,0.0,11.0,0.0,11.0,-74.306252,41.40241,Orange,11.631578947368421,19.0
Monroe Vg PD,12.0,City,8609,0,0,monroe village police department,3.0,97.0,0.0,100.0,-74.306252,41.40241,Orange,12.0,19.0
Montgomery Vg PD,12.0,City,4617,0,0,montgomery vlg police dept,0.0,6.0,0.0,6.0,-74.306252,41.40241,Orange,11.789473684210526,19.0
Walden Vg PD,12.0,City,6666,12,12,walden village police department,1.0,26.0,0.0,27.0,-74.306252,41.40241,Orange,12.0,19.0
Maybrook Vg PD,12.0,City,3773,6,12,maybrook village police department,0.0,5.0,0.0,5.0,-74.306252,41.40241,Orange,12.0,19.0
Greenwood Lake Vg PD,12.0,City,3080,0,11,greenwood lake village police department,3.0,19.0,0.0,22.0,-74.306252,41.40241,Orange,12.0,19.0
Florida Vg PD,12.0,City,2931,0,0,florida village police department,0.0,2.0,0.0,2.0,-74.306252,41.40241,Orange,12.0,19.0
Port Jervis City PD,12.0,City,8526,12,12,port jervis police department,22.0,117.0,0.0,139.0,-74.306252,41.40241,Orange,12.0,19.0
Tuxedo Park Vg PD,12.0,City,598,0,0,tuxedo park village police department,0.0,0.0,0.0,0.0,-74.306252,41.40241,Orange,11.428571428571429,7.0
Harriman Vg PD,12.0,City,2455,0,0,harriman village police department,1.0,17.0,0.0,18.0,-74.306252,41.40241,Orange,12.0,19.0
Mount Hope Town PD,12.0,City,6625,0,0,mount hope town police department,3.0,14.0,0.0,17.0,-74.306252,41.40241,Orange,12.0,19.0
Cornwall Town PD,12.0,City,9538,0,0,cornwall town police department,2.0,4.0,0.0,6.0,-74.306252,41.40241,Orange,12.0,19.0
Highlands Town PD,12.0,City,8329,0,0,highlands town police dept,0.0,0.0,0.0,0.0,-74.306252,41.40241,Orange,12.0,18.0
Newburgh Town PD,12.0,City,31691,0,0,newburgh town police department,46.0,766.0,4.0,812.0,-74.306252,41.40241,Orange,12.0,19.0
Tuxedo Town PD,,City,2969,0,0,tuxedo town police department,0.0,0.0,0.0,0.0,-74.306252,41.40241,Orange,12.0,16.0
New Windsor Town PD,12.0,City,27980,0,0,new windsor town police department,20.0,299.0,0.0,319.0,-74.306252,41.40241,Orange,12.0,19.0
Woodbury Town PD,12.0,City,11133,0,0,woodbury town police department,6.0,180.0,0.0,186.0,-74.306252,41.40241,Orange,12.0,19.0
Warwick Town PD,12.0,City,18459,0,0,warwick town police department,9.0,72.0,0.0,81.0,-74.306252,41.40241,Orange,11.578947368421053,19.0
Deerpark Town PD,12.0,City,7732,12,12,deerpark town police department,4.0,39.0,0.0,43.0,-74.306252,41.40241,Orange,10.368421052631579,19.0
Blooming Grove Town PD,12.0,City,11822,0,0,blooming grove town police department,5.0,105.0,0.0,110.0,-74.306252,41.40241,Orange,12.0,19.0
Montgomery Town PD,12.0,City,9222,0,0,montgomery town police department,0.0,8.0,0.0,8.0,-74.306252,41.40241,Orange,11.588235294117647,17.0
Crawford Town PD,12.0,City,9210,0,0,crawford town police department,2.0,21.0,0.0,23.0,-74.306252,41.40241,Orange,12.0,19.0
Chester Town PD,12.0,City,8095,0,0,chester town police department,0.0,7.0,0.0,7.0,-74.306252,41.40241,Orange,12.0,19.0
Wallkill Town PD,12.0,City,29159,0,0,wallkill town police department,49.0,630.0,0.0,679.0,-74.306252,41.40241,Orange,12.0,19.0
Goshen Town PD,12.0,City,8938,12,12,goshen town police department,1.0,18.0,0.0,19.0,-74.306252,41.40241,Orange,11.947368421052632,19.0
Orleans County Sheriff,12.0,County,26849,0,0,orleans county sheriff's office,12.0,84.0,0.0,96.0,-78.229726,43.502287,Orleans,12.0,19.0
Albion Vg PD,12.0,City,5698,0,0,albion village police department,24.0,147.0,0.0,171.0,-78.229726,43.502287,Orleans,12.0,19.0
Holley Vg PD,12.0,City,1669,0,0,holley village police department,1.0,9.0,0.0,10.0,-78.229726,43.502287,Orleans,11.842105263157896,19.0
Medina Vg PD,12.0,City,5613,0,0,medina village police department,14.0,80.0,0.0,94.0,-78.229726,43.502287,Orleans,11.210526315789474,19.0
Oswego County Sheriff,12.0,County,81507,12,12,oswego county sheriff's office,35.0,260.0,0.0,295.0,-76.209258,43.461443,Oswego,12.0,19.0
Fulton City PD,,City,11017,0,0,fulton police department,9.0,258.0,0.0,267.0,-76.209258,43.461443,Oswego,11.736842105263158,19.0
Oswego City PD,12.0,City,17138,12,12,oswego police department,41.0,453.0,0.0,494.0,-76.209258,43.461443,Oswego,12.0,19.0
Central Square Vg PD,12.0,City,1740,0,0,central square vlg police dept,0.0,40.0,0.0,40.0,-76.209258,43.461443,Oswego,11.68421052631579,19.0
Pulaski Vg PD,12.0,City,2211,0,0,pulaski village police department,0.0,29.0,0.0,29.0,-76.209258,43.461443,Oswego,11.0,19.0
Phoenix Vg PD,12.0,City,2226,0,0,phoenix vlg police dept,3.0,7.0,0.0,10.0,-76.209258,43.461443,Oswego,10.736842105263158,19.0
Otsego County Sheriff,12.0,County,43171,0,8,otsego county sheriff's office,7.0,15.0,0.0,22.0,-75.028841,42.629776,Otsego,12.0,19.0
Oneonta City PD,12.0,City,13904,11,12,oneonta police department,19.0,175.0,0.0,194.0,-75.028841,42.629776,Otsego,11.947368421052632,19.0
Cooperstown Vg PD,,City,1743,0,0,cooperstown village police department,0.0,1.0,0.0,1.0,-75.028841,42.629776,Otsego,11.31578947368421,19.0
Putnam County Sheriff,9.0,County,46063,0,0,putnam county sheriff's office,12.0,117.0,0.0,129.0,-73.743882,41.427904,Putnam,12.0,19.0
Cold Spring Vg PD,12.0,City,1940,0,0,cold spring vlg police dept,0.0,12.0,0.0,12.0,-73.743882,41.427904,Putnam,11.7,10.0
Brewster Vg PD,12.0,City,2329,0,0,brewster village pd brewster,2.0,9.0,0.0,11.0,-73.743882,41.427904,Putnam,9.222222222222221,18.0
Carmel Town PD,12.0,City,34093,10,12,carmel town police department,5.0,113.0,0.0,118.0,-73.743882,41.427904,Putnam,12.0,19.0
Kent Town PD,12.0,City,13123,0,0,kent town police department,1.0,38.0,0.0,39.0,-73.743882,41.427904,Putnam,12.0,19.0
Rensselaer County Sheriff,12.0,County,54944,0,0,rensselaer county sheriff's office,20.0,147.0,0.0,167.0,-73.513845,42.710421,Rensselaer,12.0,19.0
Rensselaer City PD,12.0,City,9149,0,0,rensselaer police dept,19.0,83.0,0.0,102.0,-73.513845,42.710421,Rensselaer,12.0,19.0
Troy City PD,12.0,City,49052,0,0,troy police department,330.0,1439.0,9.0,1769.0,-73.513845,42.710421,Rensselaer,12.0,19.0
Hoosick Falls Vg PD,12.0,City,3331,0,0,hoosick falls village police department,2.0,14.0,0.0,16.0,-73.513845,42.710421,Rensselaer,11.473684210526315,19.0
Nassau Vg PD,12.0,City,1094,0,0,nassau village police department,1.0,5.0,0.0,6.0,-73.513845,42.710421,Rensselaer,12.0,19.0
East Greenbush Town PD,12.0,City,16186,0,0,east greenbush town police department,15.0,530.0,0.0,545.0,-73.513845,42.710421,Rensselaer,12.0,19.0
North Greenbush Town PD,12.0,City,12264,0,0,north greenbush town police department,12.0,179.0,0.0,191.0,-73.513845,42.710421,Rensselaer,12.0,19.0
Schodack Town PD,12.0,City,11617,0,0,schodack town police department,6.0,47.0,0.0,53.0,-73.513845,42.710421,Rensselaer,12.0,19.0
Rockland County Sheriff,12.0,County,10682,11,1,rockland county sheriff's office,0.0,0.0,0.0,0.0,-74.024645,41.154639,Rockland,12.0,19.0
Piermont Vg PD,12.0,City,2533,8,9,piermont village police department,0.0,4.0,0.0,4.0,-74.024645,41.154639,Rockland,12.0,19.0
South Nyack-Grand View PD,11.0,City,3294,11,0,south nyack - grand view village police department,1.0,15.0,0.0,16.0,-74.024645,41.154639,Rockland,12.0,19.0
Spring Valley Vg PD,12.0,City,32356,12,12,spring valley village police department,96.0,344.0,2.0,440.0,-74.024645,41.154639,Rockland,11.31578947368421,19.0
Suffern Vg PD,8.0,City,11037,0,10,suffern village police department,2.0,47.0,0.0,49.0,-74.024645,41.154639,Rockland,11.894736842105264,19.0
Clarkstown Town PD,12.0,City,80462,12,12,clarkstown town police department,44.0,875.0,0.0,919.0,-74.024645,41.154639,Rockland,12.0,19.0
Haverstraw Town PD,12.0,City,37034,0,8,haverstraw town police department,29.0,225.0,2.0,254.0,-74.024645,41.154639,Rockland,12.0,19.0
Orangetown Town PD,12.0,City,37320,12,10,orangetown town police department,15.0,289.0,1.0,304.0,-74.024645,41.154639,Rockland,12.0,19.0
Ramapo Town PD,7.0,City,95165,0,0,ramapo town police department,73.0,485.0,0.0,558.0,-74.024645,41.154639,Rockland,12.0,19.0
Stony Point Town PD,12.0,City,15338,12,12,stony point town police department,3.0,45.0,0.0,48.0,-74.024645,41.154639,Rockland,12.0,19.0
nan,,Other State Agency,0,0,0,nys park police palisades region,0.0,0.0,0.0,0.0,-74.024645,41.154639,,,
St Lawrence County Sheriff,12.0,County,61104,12,12,st. lawrence county sheriff's office,8.0,20.0,0.0,28.0,-75.074311,44.488112,St Lawrence,12.0,19.0
Ogdensburg City PD,12.0,City,10364,12,12,ogdensburg police department,22.0,131.0,0.0,153.0,-75.074311,44.488112,St Lawrence,12.0,19.0
Massena Vg PD,12.0,City,10123,11,11,massena village police department,7.0,90.0,0.0,97.0,-75.074311,44.488112,St Lawrence,12.0,19.0
Canton Vg PD,12.0,City,6516,4,12,canton village police department,0.0,13.0,0.0,13.0,-75.074311,44.488112,St Lawrence,12.0,19.0
Gouverneur Vg PD,12.0,City,3637,12,12,gouverneur village police department,0.0,0.0,0.0,0.0,-75.074311,44.488112,St Lawrence,9.076923076923077,13.0
Norwood Vg PD,12.0,City,1549,0,0,norwood vlg police dept,3.0,15.0,0.0,18.0,-75.074311,44.488112,St Lawrence,10.4,10.0
Potsdam Vg PD,10.0,City,8943,8,9,potsdam village police department,2.0,45.0,0.0,47.0,-75.074311,44.488112,St Lawrence,12.0,19.0
Norfolk Town PD,12.0,City,4380,0,0,norfolk town police dept,1.0,1.0,0.0,2.0,-75.074311,44.488112,St Lawrence,9.38888888888889,18.0
Saratoga County Sheriff,12.0,County,171244,12,12,saratoga county sheriff's office,66.0,890.0,0.0,956.0,-73.855387,43.106135,Saratoga,12.0,19.0
Saratoga Springs City PD,12.0,City,28397,0,0,saratoga springs police department,53.0,453.0,1.0,506.0,-73.855387,43.106135,Saratoga,12.0,19.0
Ballston Spa Vg PD,12.0,City,5204,0,0,ballston spa village police department,0.0,39.0,0.0,39.0,-73.855387,43.106135,Saratoga,12.0,19.0
Mechanicville City PD,12.0,City,5018,0,0,mechanicville police department,13.0,41.0,0.0,54.0,-73.855387,43.106135,Saratoga,12.0,19.0
South Glens Falls Vg PD,12.0,City,3647,0,0,south glens falls village police department,5.0,28.0,0.0,33.0,-73.855387,43.106135,Saratoga,12.0,19.0
nan,,Other State Agency,0,0,0,nys park police saratoga/capital region,0.0,0.0,0.0,0.0,-73.855387,43.106135,,,
Waterford Town and Vg PD,12.0,City,8466,0,0,waterford town police department,3.0,17.0,0.0,20.0,-73.855387,43.106135,Saratoga,12.0,19.0
Allegany Vg PD,12.0,City,190,0,0,galway vlg police dept,,,,,,,Cattaraugus,11.894736842105264,19.0
Stillwater Town PD,12.0,City,7340,0,0,stillwater town police dept,1.0,14.0,0.0,15.0,-73.855387,43.106135,Saratoga,12.0,19.0
Schenectady City PD,12.0,City,7446,0,12,schenectady police department,468.0,1652.0,5.0,2120.0,-74.043548,42.817539,Schenectady,12.0,19.0
Schenectady County Sheriff,12.0,County,65176,12,12,schenectady county sheriff's office,4.0,10.0,0.0,14.0,-74.043548,42.817539,Schenectady,12.0,19.0
Scotia Vg PD,12.0,City,7631,0,0,scotia village police department,7.0,146.0,0.0,153.0,-74.043548,42.817539,Schenectady,12.0,19.0
Glenville Town PD,12.0,City,21609,0,0,glenville town police department,12.0,313.0,0.0,325.0,-74.043548,42.817539,Schenectady,12.0,19.0
Niskayuna Town PD,12.0,City,22428,0,0,niskayuna town police department,18.0,422.0,0.0,440.0,-74.043548,42.817539,Schenectady,12.0,19.0
Rotterdam Town PD,12.0,City,30071,0,12,rotterdam town police department,35.0,715.0,0.0,750.0,-74.043548,42.817539,Schenectady,12.0,19.0
Schoharie County Sheriff,12.0,County,25492,0,12,schoharie county sheriff's office,4.0,37.0,0.0,41.0,-74.438172,42.591294,Schoharie,12.0,19.0
Cobleskill Vg PD,12.0,City,4323,0,0,cobleskill village police department,19.0,126.0,0.0,145.0,-74.438172,42.591294,Schoharie,12.0,19.0
Schoharie Vg PD,12.0,City,806,0,0,schoharie village pd schoharie,0.0,4.0,0.0,4.0,-74.438172,42.591294,Schoharie,12.0,13.0
Schuyler County Sheriff,12.0,County,15763,0,0,schuyler county sheriff's office,6.0,10.0,0.0,16.0,-76.938603,42.419776,Schuyler,12.0,19.0
Watkins Glen Vg PD,,City,1874,0,0,watkins glen village police department,0.0,7.0,0.0,7.0,-76.938603,42.419776,Schuyler,11.578947368421053,19.0
Seneca County Sheriff,12.0,County,19652,12,11,seneca county sheriff's office,7.0,81.0,0.0,88.0,-76.827088,42.782294,Seneca,12.0,19.0
Seneca Falls Town PD,12.0,City,8573,12,12,seneca falls town,15.0,163.0,0.0,178.0,-76.827088,42.782294,Seneca,7.714285714285714,14.0
Interlaken Vg PD,,City,598,0,0,interlaken vlg police dept,0.0,0.0,0.0,0.0,-76.827088,42.782294,Seneca,5.636363636363637,11.0
Waterloo Vg PD,12.0,City,4842,12,11,waterloo vlg police dept,10.0,35.0,1.0,45.0,-76.827088,42.782294,Seneca,12.0,19.0
Steuben County Sheriff,12.0,County,58880,0,9,steuben county sheriff's office,10.0,76.0,0.0,86.0,-77.385525,42.266725,Steuben,12.0,19.0
Corning City PD,12.0,City,10469,0,0,corning police department,33.0,274.0,1.0,307.0,-77.385525,42.266725,Steuben,12.0,19.0
Hornell City PD,,City,8272,0,0,hornell police department,0.0,0.0,0.0,0.0,-77.385525,42.266725,Steuben,10.555555555555555,18.0
Addison Vg PD,12.0,City,2458,0,0,addison village police department,6.0,7.0,0.0,13.0,-77.385525,42.266725,Steuben,11.368421052631579,19.0
Bath Vg PD,,City,5438,0,0,bath village police department,2.0,44.0,0.0,46.0,-77.385525,42.266725,Steuben,11.578947368421053,19.0
Canisteo Vg PD,12.0,City,2120,0,0,canisteo vlg police dept,1.0,4.0,0.0,5.0,-77.385525,42.266725,Steuben,12.0,19.0
Cohocton Town PD,11.0,City,2435,0,0,cohocton town police dept,0.0,3.0,0.0,3.0,-77.385525,42.266725,Steuben,7.470588235294118,17.0
Painted Post Vg PD,3.0,City,1939,0,0,painted post village police department,1.0,2.0,0.0,3.0,-77.385525,42.266725,Steuben,11.631578947368421,19.0
Hammondsport Vg PD,12.0,City,618,0,0,hammondsport village police department,0.0,16.0,0.0,16.0,-77.385525,42.266725,Steuben,8.0,17.0
Wayland Vg PD,,City,1753,0,0,wayland village police department,0.0,3.0,0.0,3.0,-77.385525,42.266725,Steuben,12.0,19.0
Suffolk County Sheriff,12.0,County,0,0,0,suffolk county sheriff's office,18.0,0.0,0.0,18.0,-72.692218,40.943554,Suffolk,12.0,19.0
Suffolk County PD,12.0,County,1303112,0,0,suffolk county police department,1118.0,14966.0,30.0,16084.0,-72.692218,40.943554,Suffolk,12.0,19.0
Amityville Vg PD,12.0,City,9387,0,0,amityville village police department,5.0,61.0,2.0,66.0,-72.692218,40.943554,Suffolk,12.0,19.0
