agency_type,FIPS,agency_name_full,population_21,months_reported_in_21,is_nibrs_2022,months_reported_in_22,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,Info
County,36025,delaware county sheriff's office,31333,0,0,0,30,160,1,190,-74.966728,42.193986,
City,36025,delhi village police department,2935,0,0,0,2,24,0,26,-74.966728,42.193986,
City,36025,hancock village police department,923,0,0,0,1,8,0,9,-74.966728,42.193986,
City,36025,sidney village police department,3553,0,0,0,6,41,0,47,-74.966728,42.193986,
City,36025,walton village police department,2768,0,0,0,0,0,0,0,-74.966728,42.193986,
City,36025,colchester town police department,1947,0,0,0,1,9,0,10,-74.966728,42.193986,
County,36027,dutchess county sheriff's office,117314,12,1,12,34,376,0,410,-73.739951,41.75501,
City,36027,beacon police department,13984,12,1,12,15,124,0,139,-73.739951,41.75501,
City,36027,poughkeepsie police department,30480,0,0,0,243,530,6,773,-73.739951,41.75501,
City,36027,fishkill village police department,2153,0,1,12,2,30,0,32,-73.739951,41.75501,
City,36027,millerton vlg police dept,2938,0,0,0,,,,,,,
City,36027,wappingers falls village police department,5540,0,0,0,7,39,0,46,-73.739951,41.75501,
City,36027,red hook village police department,1951,0,0,0,5,33,0,38,-73.739951,41.75501,
City,36027,rhinebeck vlg police dept,2554,0,0,0,1,18,0,19,-73.739951,41.75501,
City,36027,millbrook village police department,1400,0,0,0,0,0,0,0,-73.739951,41.75501,
City,36027,town of pine plains police dept,2399,0,0,0,0,1,0,1,-73.739951,41.75501,
City,36027,poughkeepsie town police department,38934,11,1,12,69,903,0,972,-73.739951,41.75501,
City,36027,fishkill town police department,21973,0,0,0,5,353,0,358,-73.739951,41.75501,
City,36027,hyde park town police department,20766,12,1,12,9,36,0,45,-73.739951,41.75501,
City,36027,east fishkill town police department,29578,12,1,9,12,137,0,149,-73.739951,41.75501,
Other State Agency,36027,nys park police taconic region,0,0,0,0,0,0,0,0,-73.739951,41.75501,
County,36029,erie county sheriff's office,126954,0,0,0,52,575,2,627,-78.778192,42.752759,
City,36029,buffalo police department,254627,12,1,12,2592,7965,61,10557,-78.778192,42.752759,
City,36029,lackawanna police department,17674,0,0,0,100,352,0,452,-78.778192,42.752759,
City,36029,tonawanda police department,14700,0,0,0,46,287,1,333,-78.778192,42.752759,
City,36029,kenmore village police department,14968,0,1,7,37,242,0,279,-78.778192,42.752759,
City,36029,east aurora village pd east aurora,13748,0,0,0,3,76,0,79,-78.778192,42.752759,
City,36029,depew village police department,14965,0,0,0,23,230,0,253,-78.778192,42.752759,
City,36009,gowanda village police department,2531,0,0,0,4,36,0,40,-78.662421,42.239169,
City,36029,blasdell village pd blasdell,2671,0,0,0,4,32,0,36,-78.778192,42.752759,
City,36029,hamburg village police department,9744,0,0,0,6,71,0,77,-78.778192,42.752759,
City,36029,akron village police department,2852,0,0,0,0,6,0,6,-78.778192,42.752759,
Other,36029,niagara frontier transportation authority,0,0,0,0,,,,,,,
City,36029,amherst town police department,121304,0,0,0,153,1865,0,2018,-78.778192,42.752759,
City,36029,brant town police dept,2056,0,0,0,0,15,0,15,-78.778192,42.752759,
City,36029,cheektowaga town police department,76536,0,0,0,216,2237,1,2453,-78.778192,42.752759,
City,36029,orchard park town police department,29653,0,0,0,8,277,0,285,-78.778192,42.752759,
City,36029,eden town police department,7602,0,0,0,1,22,0,23,-78.778192,42.752759,
City,36029,evans town police department,16061,0,0,0,23,156,0,179,-78.778192,42.752759,
City,36029,hamburg town police department,46513,0,0,0,51,675,0,726,-78.778192,42.752759,
City,36029,lancaster town police department,37633,0,0,0,12,347,0,359,-78.778192,42.752759,
City,36029,tonawanda town police department,56503,0,0,0,85,848,2,933,-78.778192,42.752759,
City,36029,west seneca town police department,45278,0,0,0,59,590,0,649,-78.778192,42.752759,
County,36031,essex county sheriff's office,23380,0,0,0,1,1,0,2,-73.777573,44.108971,
City,36031,lake placid village police department,2339,0,0,0,7,16,0,23,-73.777573,44.108971,
City,36031,ticonderoga town police department,4725,0,0,0,6,23,0,29,-73.777573,44.108971,
City,36031,moriah town police department,4437,0,0,0,0,0,0,0,-73.777573,44.108971,
County,36033,franklin county sheriff's office,36872,0,0,0,0,0,0,0,-74.31067,44.594376,
City,36033,tupper lake village police department,3420,0,0,0,1,25,0,26,-74.31067,44.594376,
City,36033,saranac lake village police department,5177,0,0,0,1,5,0,6,-74.31067,44.594376,
City,36033,malone village police department,5566,0,0,0,32,191,0,223,-74.31067,44.594376,
County,36035,fulton county sheriff's office,28811,0,0,0,13,244,0,257,-74.423678,43.115609,
City,36035,gloversville police department,14656,0,1,7,79,404,1,483,-74.423678,43.115609,
City,36035,johnstown police department,8183,0,1,10,10,128,0,138,-74.423678,43.115609,
City,36035,northville village police department,1048,0,0,0,0,3,0,3,-74.423678,43.115609,
County,36037,genesee county sheriff's office,37985,11,1,11,26,234,0,260,-78.192778,43.00091,
City,36037,batavia police department,14278,12,1,12,64,345,0,409,-78.192778,43.00091,
City,36037,le roy village police department,4246,0,0,0,1,18,0,19,-78.192778,43.00091,
County,36039,greene county sheriff's office,25316,0,0,0,11,26,0,37,-74.149554,42.286964,
City,36039,athens village police department,1590,0,0,0,0,0,0,0,-74.149554,42.286964,
City,36039,catskill village police department,3787,0,0,0,6,71,0,77,-74.149554,42.286964,
City,36039,coxsackie village police department,2655,0,0,0,0,1,0,1,-74.149554,42.286964,
City,36039,windham town police department,1672,0,0,0,0,5,0,5,-74.149554,42.286964,
City,36039,hunter town police department,2620,0,0,0,0,20,0,20,-74.149554,42.286964,
City,36039,durham town police dept,2648,0,0,0,0,1,0,1,-74.149554,42.286964,
City,36039,cairo town police department,6390,0,0,0,3,40,0,43,-74.149554,42.286964,
County,36041,hamilton county sheriff's office,4041,0,0,0,0,10,0,10,-74.502456,43.657879,
City,36041,inlet town police department,301,0,0,0,1,4,0,5,-74.502456,43.657879,
County,36043,herkimer county sheriff's office,27783,0,0,0,0,0,0,0,-74.841097,43.571009,
City,36043,frankfort village police department,2409,0,0,0,3,7,0,10,-74.841097,43.571009,
City,36043,ilion village police department,7613,12,1,12,28,195,0,223,-74.841097,43.571009,
City,36043,mohawk police department,2507,0,0,0,2,23,0,25,-74.841097,43.571009,
City,36043,herkimer village police department,7212,0,0,0,10,289,0,299,-74.841097,43.571009,
City,36043,dolgeville village police department,2055,0,0,0,1,20,0,21,-74.841097,43.571009,
City,36043,little falls police department,4604,0,0,0,12,63,1,75,-74.841097,43.571009,
City,36043,webb town police department,1779,0,0,0,0,1,0,1,-74.841097,43.571009,
City,36043,frankfort town police department,4752,0,0,0,4,22,0,26,-74.841097,43.571009,
County,36045,jefferson county sheriff's office,67464,12,1,12,10,190,0,200,-76.053514,43.995371,
City,36045,watertown police department,24624,12,1,12,181,975,0,1156,-76.053514,43.995371,
City,36045,adams vlg police dept,1706,0,0,0,0,3,0,3,-76.053514,43.995371,
City,36045,alexandria bay vlg police dept,1023,0,0,0,0,3,0,3,-76.053514,43.995371,
City,36045,brownville village pd brownville,1076,0,0,0,0,2,0,2,-76.053514,43.995371,
City,36045,dexter vlg police dept,992,0,0,0,0,2,0,2,-76.053514,43.995371,
City,36045,glen park village rd watertown,469,0,0,0,0,1,0,1,-76.053514,43.995371,
City,36045,cape vincent village police department,689,0,0,0,0,1,0,1,-76.053514,43.995371,
City,36045,west carthage police dept,1925,0,0,0,1,11,0,12,-76.053514,43.995371,
City,36045,clayton village police department,1816,0,0,0,0,3,0,3,-76.053514,43.995371,
City,36045,sacketts harbor vlg police dept,1391,0,0,0,0,0,0,0,-76.053514,43.995371,
City,36045,black river village pd black river,1229,0,0,0,0,3,0,3,-76.053514,43.995371,
