agency_type,FIPS,agency_name_full,population_21,months_reported_in_21,is_nibrs_2022,months_reported_in_22,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,Info,County
City,36055,ogden town police department,20603,12,1,12,11,156,0,167,-77.802826,43.17041,,Monroe
City,36055,webster town police department,45449,12,1,12,27,367,0,394,-77.457746,43.209645,,Monroe
County,36057,montgomery county sheriff's office,25113,12,1,11,6,238,0,244,-74.3325,42.9338,,Montgomery
City,36057,amsterdam police department,17675,0,0,0,37,284,0,321,-74.1906738,42.938343,,Montgomery
City,36057,canajoharie village police department,2122,0,0,0,1,14,0,15,-74.5718073,42.9056288,,Montgomery
City,36057,fort plain village police department,2212,0,0,0,8,52,0,60,-74.6226425,42.9314616,,Montgomery
City,36057,saint johnsville village police department,1668,0,0,0,1,15,0,16,-74.6781003,43.0012346,,Montgomery
County,36059,nassau county police department,1053945,0,0,0,1304,8610,14,9914,-73.5594128,40.6546145,,Nassau
City,36059,glen cove police department,27186,0,0,0,3,108,0,111,-73.6315221,40.863201,,Nassau
City,36059,long beach police department,33461,0,0,0,13,46,0,59,-73.666382,40.589559,,Nassau
City,36059,floral park village police department,15844,0,0,0,10,61,0,71,-73.7048532,40.7237133,,Nassau
City,36059,freeport village police department,42962,0,1,7,73,263,1,336,-73.5831835,40.6576022,,Nassau
City,36059,garden city village police department,22465,0,0,0,5,243,0,248,-73.6342954,40.7267682,,Nassau
City,36059,hempstead village police department,55230,12,1,12,357,571,8,928,-73.6229361,40.7103658,,Nassau
City,36059,lynbrook village police department,19441,0,0,0,15,115,0,130,-73.6717969,40.6548253,,Nassau
City,36059,rockville centre police department,24604,0,0,0,14,106,0,120,-73.6433192,40.6586305,,Nassau
City,36059,great neck estates village police department,2892,0,0,0,1,8,0,9,-73.7367983,40.7870459,,Nassau
City,36059,sands point village police department,2919,0,0,0,1,12,0,13,-73.718742,40.8517669,,Nassau
City,36059,malverne village police department,8482,0,0,0,0,16,0,16,-73.6740191,40.6789916,,Nassau
City,36059,kensington village police department,1193,0,0,0,0,0,0,0,-73.73024,40.7907,,Nassau
